pose,coordinate,q,muscle,axis,length,moment_arm,finite_difference,tendon_force,active_fiber_force,passive_fiber_force,cos_pennation,activation,fiber_velocity
1,lumbar_extension,-0.10000000000000001,gait2392_extobl_r,lumbar_extension,0.26750508963419911,-0.068249863582230494,-0.06824986359399432,51.584457631037125,44.765402627585743,6.8190550034513775,1,0.050000000000000003,7.0641721184966087e-09
1,lumbar_extension,-0.10000000000000001,gait2392_extobl_r,lumbar_bending,0.26750508963419911,0.060577752082771864,0.060577752147850106,51.584457631037125,44.765402627585743,6.8190550034513775,1,0.050000000000000003,7.0641721184966087e-09
1,lumbar_extension,-0.10000000000000001,gait2392_extobl_r,lumbar_rotation,0.26750508963419911,0.032453919169683473,0.032453919135422282,51.584457631037125,44.765402627585743,6.8190550034513775,1,0.050000000000000003,7.0641721184966087e-09
1,lumbar_extension,-0.10000000000000001,gait2392_ercspn_l,lumbar_extension,0.15384681400751427,0.040052506637035322,0.040052506589116632,134.98770255477712,124.77988025493471,10.207822299842412,1,0.050000000000000003,4.9262990059062375e-13
1,lumbar_extension,-0.10000000000000001,gait2392_ercspn_l,lumbar_bending,0.15384681400751427,-0.037649061735098022,-0.037649061770950176,134.98770255477712,124.77988025493471,10.207822299842412,1,0.050000000000000003,4.9262990059062375e-13
1,lumbar_extension,-0.10000000000000001,gait2392_ercspn_l,lumbar_rotation,0.15384681400751427,-0.010049390777071272,-0.010049390736233121,134.98770255477712,124.77988025493471,10.207822299842412,1,0.050000000000000003,4.9262990059062375e-13
1,lumbar_extension,-0.10000000000000001,gait2392_intobl_l,lumbar_extension,0.19381280619696192,-0.052751726297883099,-0.052751726251076825,44.549611023783449,44.549611023783442,0,1,0.050000000000000003,4.8120900450080701e-11
1,lumbar_extension,-0.10000000000000001,gait2392_intobl_l,lumbar_bending,0.19381280619696192,-0.095931431247936669,-0.095931431187690208,44.549611023783449,44.549611023783442,0,1,0.050000000000000003,4.8120900450080701e-11
1,lumbar_extension,-0.10000000000000001,gait2392_intobl_l,lumbar_rotation,0.19381280619696192,0.037024526830545752,0.037024526833295823,44.549611023783449,44.549611023783442,0,1,0.050000000000000003,4.8120900450080701e-11
1,lumbar_extension,-0.10000000000000001,gait2392_extobl_l,lumbar_extension,0.26750508963419911,-0.068249863582230494,-0.06824986359399432,51.584457631037125,44.765402627585743,6.8190550034513775,1,0.050000000000000003,7.0641721184966087e-09
1,lumbar_extension,-0.10000000000000001,gait2392_extobl_l,lumbar_bending,0.26750508963419911,-0.060577752082771864,-0.060577752147850106,51.584457631037125,44.765402627585743,6.8190550034513775,1,0.050000000000000003,7.0641721184966087e-09
1,lumbar_extension,-0.10000000000000001,gait2392_extobl_l,lumbar_rotation,0.26750508963419911,-0.032453919169683473,-0.032453919135422282,51.584457631037125,44.765402627585743,6.8190550034513775,1,0.050000000000000003,7.0641721184966087e-09
2,lumbar_extension,0.10000000000000001,gait2392_ercspn_r,lumbar_extension,0.14531586533170818,0.045116840384189269,0.04511684027763696,124.57421101843629,124.57421101843627,0,1,0.050000000000000003,4.4030871816160454e-11
2,lumbar_extension,0.10000000000000001,gait2392_ercspn_r,lumbar_bending,0.14531586533170818,0.038557921653700006,0.038557921688830987,124.57421101843629,124.57421101843627,0,1,0.050000000000000003,4.4030871816160454e-11
2,lumbar_extension,0.10000000000000001,gait2392_ercspn_r,lumbar_rotation,0.14531586533170818,0.009394271251768534,0.0093942712914296678,124.57421101843629,124.57421101843627,0,1,0.050000000000000003,4.4030871816160454e-11
2,lumbar_extension,0.10000000000000001,gait2392_intobl_r,lumbar_extension,0.20436045610009754,-0.052382724677849761,-0.052382724671784509,49.176243166396731,44.895708155206002,4.2805350111907323,1,0.050000000000000003,1.456622440722526e-13
2,lumbar_extension,0.10000000000000001,gait2392_intobl_r,lumbar_bending,0.20436045610009754,0.091869713459493699,0.091869713489400873,49.176243166396731,44.895708155206002,4.2805350111907323,1,0.050000000000000003,1.456622440722526e-13
2,lumbar_extension,0.10000000000000001,gait2392_intobl_r,lumbar_rotation,0.20436045610009754,-0.035282119199980082,-0.035282119184576466,49.176243166396731,44.895708155206002,4.2805350111907323,1,0.050000000000000003,1.456622440722526e-13
2,lumbar_extension,0.10000000000000001,gait2392_extobl_r,lumbar_extension,0.28005518452917227,-0.057088293181096213,-0.057088293259344169,72.874808191385952,42.92711630588785,29.947691885498109,1,0.050000000000000003,0
2,lumbar_extension,0.10000000000000001,gait2392_extobl_r,lumbar_bending,0.28005518452917227,0.063407738703781136,0.063407738754017728,72.874808191385952,42.92711630588785,29.947691885498109,1,0.050000000000000003,0
2,lumbar_extension,0.10000000000000001,gait2392_extobl_r,lumbar_rotation,0.28005518452917227,0.019620083947043728,0.019620083974158931,72.874808191385952,42.92711630588785,29.947691885498109,1,0.050000000000000003,0
2,lumbar_extension,0.10000000000000001,gait2392_ercspn_l,lumbar_extension,0.14531586533170818,0.045116840384189269,0.04511684027763696,124.57421101843629,124.57421101843627,0,1,0.050000000000000003,4.4030871816160454e-11
2,lumbar_extension,0.10000000000000001,gait2392_ercspn_l,lumbar_bending,0.14531586533170818,-0.038557921653700006,-0.038557921688830987,124.57421101843629,124.57421101843627,0,1,0.050000000000000003,4.4030871816160454e-11
2,lumbar_extension,0.10000000000000001,gait2392_ercspn_l,lumbar_rotation,0.14531586533170818,-0.009394271251768534,-0.0093942712914296678,124.57421101843629,124.57421101843627,0,1,0.050000000000000003,4.4030871816160454e-11
2,lumbar_extension,0.10000000000000001,gait2392_intobl_l,lumbar_extension,0.20436045610009754,-0.052382724677849761,-0.052382724671784509,49.176243166396731,44.895708155206002,4.2805350111907323,1,0.050000000000000003,1.456622440722526e-13
2,lumbar_extension,0.10000000000000001,gait2392_intobl_l,lumbar_bending,0.20436045610009754,-0.091869713459493699,-0.091869713489400873,49.176243166396731,44.895708155206002,4.2805350111907323,1,0.050000000000000003,1.456622440722526e-13
2,lumbar_extension,0.10000000000000001,gait2392_intobl_l,lumbar_rotation,0.20436045610009754,0.035282119199980082,0.035282119184576466,49.176243166396731,44.895708155206002,4.2805350111907323,1,0.050000000000000003,1.456622440722526e-13
2,lumbar_extension,0.10000000000000001,gait2392_extobl_l,lumbar_extension,0.28005518452917227,-0.057088293181096213,-0.057088293259344169,72.874808191385952,42.92711630588785,29.947691885498109,1,0.050000000000000003,0
2,lumbar_extension,0.10000000000000001,gait2392_extobl_l,lumbar_bending,0.28005518452917227,-0.063407738703781136,-0.063407738754017728,72.874808191385952,42.92711630588785,29.947691885498109,1,0.050000000000000003,0
2,lumbar_extension,0.10000000000000001,gait2392_extobl_l,lumbar_rotation,0.28005518452917227,-0.019620083947043728,-0.019620083974158931,72.874808191385952,42.92711630588785,29.947691885498109,1,0.050000000000000003,0
3,lumbar_bending,-0.10000000000000001,gait2392_ercspn_r,lumbar_extension,0.15336298618603683,0.04214809838512483,0.042148098386429744,133.54049079279901,124.83540088971047,8.7050899030885347,1,0.050000000000000003,1.0825171574949857e-12
3,lumbar_bending,-0.10000000000000001,gait2392_ercspn_r,lumbar_bending,0.15336298618603683,0.034986687688758719,0.034986687658111748,133.54049079279901,124.83540088971047,8.7050899030885347,1,0.050000000000000003,1.0825171574949857e-12
3,lumbar_bending,-0.10000000000000001,gait2392_ercspn_r,lumbar_rotation,0.15336298618603683,0.0080360621122495691,0.0080360621212971495,133.54049079279901,124.83540088971047,8.7050899030885347,1,0.050000000000000003,1.0825171574949857e-12
3,lumbar_bending,-0.10000000000000001,gait2392_intobl_r,lumbar_extension,0.2082519167191948,-0.050704833575555074,-0.050704833581827202,54.94867430657159,44.530659351008715,10.418014955562867,1,0.050000000000000003,5.6861952690670622e-10
3,lumbar_bending,-0.10000000000000001,gait2392_intobl_r,lumbar_bending,0.2082519167191948,0.089222337190546855,0.089222337240624228,54.94867430657159,44.530659351008715,10.418014955562867,1,0.050000000000000003,5.6861952690670622e-10
3,lumbar_bending,-0.10000000000000001,gait2392_intobl_r,lumbar_rotation,0.2082519167191948,-0.033938092602124902,-0.033938092627860961,54.94867430657159,44.530659351008715,10.418014955562867,1,0.050000000000000003,5.6861952690670622e-10
3,lumbar_bending,-0.10000000000000001,gait2392_extobl_r,lumbar_extension,0.27994022512532313,-0.064106728022368137,-0.064106727953872067,72.609109867407895,42.951696784926668,29.657413082481227,1,0.050000000000000003,8.1418030231205049e-09
3,lumbar_bending,-0.10000000000000001,gait2392_extobl_r,lumbar_bending,0.27994022512532313,0.055340891621003724,0.055340891619293231,72.609109867407895,42.951696784926668,29.657413082481227,1,0.050000000000000003,8.1418030231205049e-09
3,lumbar_bending,-0.10000000000000001,gait2392_extobl_r,lumbar_rotation,0.27994022512532313,0.028834106131265216,0.028834106130526393,72.609109867407895,42.951696784926668,29.657413082481227,1,0.050000000000000003,8.1418030231205049e-09
3,lumbar_bending,-0.10000000000000001,gait2392_ercspn_l,lumbar_extension,0.14575026954222409,0.04305204925038137,0.043052049245040358,124.64546028992574,124.64546028992572,0,1,0.050000000000000003,4.297578539378019e-11
3,lumbar_bending,-0.10000000000000001,gait2392_ercspn_l,lumbar_bending,0.14575026954222409,-0.041040630801195889,-0.041040630796573829,124.64546028992574,124.64546028992572,0,1,0.050000000000000003,4.297578539378019e-11
3,lumbar_bending,-0.10000000000000001,gait2392_ercspn_l,lumbar_rotation,0.14575026954222409,-0.011288798978760629,-0.011288798951181178,124.64546028992574,124.64546028992572,0,1,0.050000000000000003,4.297578539378019e-11
3,lumbar_bending,-0.10000000000000001,gait2392_intobl_l,lumbar_extension,0.18949277274837642,-0.054765055029847701,-0.054765054949279524,43.844618784416383,43.844618784416383,0,1,0.050000000000000003,8.948168904568893e-11
3,lumbar_bending,-0.10000000000000001,gait2392_intobl_l,lumbar_bending,0.18949277274837642,-0.098165157691146032,-0.098165157613738785,43.844618784416383,43.844618784416383,0,1,0.050000000000000003,8.948168904568893e-11
3,lumbar_bending,-0.10000000000000001,gait2392_intobl_l,lumbar_rotation,0.18949277274837642,0.038146070323145674,0.038146070302502721,43.844618784416383,43.844618784416383,0,1,0.050000000000000003,8.948168904568893e-11
3,lumbar_bending,-0.10000000000000001,gait2392_extobl_l,lumbar_extension,0.26749485594599831,-0.061284329577591119,-0.061284329527788728,51.572032270764886,44.766169629387335,6.8058626413775425,1,0.050000000000000003,7.2286994116800846e-09
3,lumbar_bending,-0.10000000000000001,gait2392_extobl_l,lumbar_bending,0.26749485594599831,-0.069008394211227286,-0.069008394110170457,51.572032270764886,44.766169629387335,6.8058626413775425,1,0.050000000000000003,7.2286994116800846e-09
3,lumbar_bending,-0.10000000000000001,gait2392_extobl_l,lumbar_rotation,0.26749485594599831,-0.023135653960815194,-0.023135653975936421,51.572032270764886,44.766169629387335,6.8058626413775425,1,0.050000000000000003,7.2286994116800846e-09
4,lumbar_bending,0.10000000000000001,gait2392_ercspn_r,lumbar_extension,0.14575026954222409,0.04305204925038137,0.043052049245040358,124.64546028992574,124.64546028992572,0,1,0.050000000000000003,4.297578539378019e-11
4,lumbar_bending,0.10000000000000001,gait2392_ercspn_r,lumbar_bending,0.14575026954222409,0.041040630801195889,0.041040630796573829,124.64546028992574,124.64546028992572,0,1,0.050000000000000003,4.297578539378019e-11
4,lumbar_bending,0.10000000000000001,gait2392_ercspn_r,lumbar_rotation,0.14575026954222409,0.011288798978760629,0.011288798951181178,124.64546028992574,124.64546028992572,0,1,0.050000000000000003,4.297578539378019e-11
4,lumbar_bending,0.10000000000000001,gait2392_intobl_r,lumbar_extension,0.18949277274837642,-0.054765055029847701,-0.054765054949279524,43.844618784416383,43.844618784416383,0,1,0.050000000000000003,8.948168904568893e-11
4,lumbar_bending,0.10000000000000001,gait2392_intobl_r,lumbar_bending,0.18949277274837642,0.098165157691146032,0.098165157613738785,43.844618784416383,43.844618784416383,0,1,0.050000000000000003,8.948168904568893e-11
4,lumbar_bending,0.10000000000000001,gait2392_intobl_r,lumbar_rotation,0.18949277274837642,-0.038146070323145674,-0.038146070302502721,43.844618784416383,43.844618784416383,0,1,0.050000000000000003,8.948168904568893e-11
4,lumbar_bending,0.10000000000000001,gait2392_extobl_r,lumbar_extension,0.26749485594599831,-0.061284329577591119,-0.061284329527788728,51.572032270764886,44.766169629387335,6.8058626413775425,1,0.050000000000000003,7.2286994116800846e-09
4,lumbar_bending,0.10000000000000001,gait2392_extobl_r,lumbar_bending,0.26749485594599831,0.069008394211227286,0.069008394110170457,51.572032270764886,44.766169629387335,6.8058626413775425,1,0.050000000000000003,7.2286994116800846e-09
4,lumbar_bending,0.10000000000000001,gait2392_extobl_r,lumbar_rotation,0.26749485594599831,0.023135653960815194,0.023135653975936421,51.572032270764886,44.766169629387335,6.8058626413775425,1,0.050000000000000003,7.2286994116800846e-09
4,lumbar_bending,0.10000000000000001,gait2392_ercspn_l,lumbar_extension,0.15336298618603683,0.04214809838512483,0.042148098386429744,133.54049079279901,124.83540088971047,8.7050899030885347,1,0.050000000000000003,1.0825171574949857e-12
4,lumbar_bending,0.10000000000000001,gait2392_ercspn_l,lumbar_bending,0.15336298618603683,-0.034986687688758719,-0.034986687658111748,133.54049079279901,124.83540088971047,8.7050899030885347,1,0.050000000000000003,1.0825171574949857e-12
4,lumbar_bending,0.10000000000000001,gait2392_ercspn_l,lumbar_rotation,0.15336298618603683,-0.0080360621122495691,-0.0080360621212971495,133.54049079279901,124.83540088971047,8.7050899030885347,1,0.050000000000000003,1.0825171574949857e-12
4,lumbar_bending,0.10000000000000001,gait2392_intobl_l,lumbar_extension,0.2082519167191948,-0.050704833575555074,-0.050704833581827202,54.94867430657159,44.530659351008715,10.418014955562867,1,0.050000000000000003,5.6861952690670622e-10
4,lumbar_bending,0.10000000000000001,gait2392_intobl_l,lumbar_bending,0.2082519167191948,-0.089222337190546855,-0.089222337240624228,54.94867430657159,44.530659351008715,10.418014955562867,1,0.050000000000000003,5.6861952690670622e-10
4,lumbar_bending,0.10000000000000001,gait2392_intobl_l,lumbar_rotation,0.2082519167191948,0.033938092602124902,0.033938092627860961,54.94867430657159,44.530659351008715,10.418014955562867,1,0.050000000000000003,5.6861952690670622e-10
4,lumbar_bending,0.10000000000000001,gait2392_extobl_l,lumbar_extension,0.27994022512532313,-0.064106728022368137,-0.064106727953872067,72.609109867407895,42.951696784926668,29.657413082481227,1,0.050000000000000003,8.1418030231205049e-09
4,lumbar_bending,0.10000000000000001,gait2392_extobl_l,lumbar_bending,0.27994022512532313,-0.055340891621003724,-0.055340891619293231,72.609109867407895,42.951696784926668,29.657413082481227,1,0.050000000000000003,8.1418030231205049e-09
4,lumbar_bending,0.10000000000000001,gait2392_extobl_l,lumbar_rotation,0.27994022512532313,-0.028834106131265216,-0.028834106130526393,72.609109867407895,42.951696784926668,29.657413082481227,1,0.050000000000000003,8.1418030231205049e-09
5,lumbar_rotation,-0.10000000000000001,gait2392_ercspn_r,lumbar_extension,0.15077893240936815,0.042918022824663449,0.042918022830074065,126.32123634256563,124.99558238251106,1.3256539600545503,1,0.050000000000000003,2.3637842430297801e-11
5,lumbar_rotation,-0.10000000000000001,gait2392_ercspn_r,lumbar_bending,0.15077893240936815,0.036418731589596534,0.03641873165538545,126.32123634256563,124.99558238251106,1.3256539600545503,1,0.050000000000000003,2.3637842430297801e-11
5,lumbar_rotation,-0.10000000000000001,gait2392_ercspn_r,lumbar_rotation,0.15077893240936815,0.011701320310749523,0.011701320315471442,126.32123634256563,124.99558238251106,1.3256539600545503,1,0.050000000000000003,2.3637842430297801e-11
5,lumbar_rotation,-0.10000000000000001,gait2392_intobl_r,lumbar_extension,0.19561114516983907,-0.053656232519697721,-0.053656232498755507,44.748297985082054,44.748297985082054,0,1,0.050000000000000003,4.0101648607608172e-11
5,lumbar_rotation,-0.10000000000000001,gait2392_intobl_r,lumbar_bending,0.19561114516983907,0.095925025655462209,0.095925025755949633,44.748297985082054,44.748297985082054,0,1,0.050000000000000003,4.0101648607608172e-11
5,lumbar_rotation,-0.10000000000000001,gait2392_intobl_r,lumbar_rotation,0.19561114516983907,-0.033511047412388799,-0.033511047409229278,44.748297985082054,44.748297985082054,0,1,0.050000000000000003,4.0101648607608172e-11
5,lumbar_rotation,-0.10000000000000001,gait2392_extobl_r,lumbar_extension,0.27674615277217846,-0.056253503312602302,-0.05625350329996337,65.846738420536767,43.57979125782775,22.26694716270902,1,0.050000000000000003,2.7488495493528013e-10
5,lumbar_rotation,-0.10000000000000001,gait2392_extobl_r,lumbar_bending,0.27674615277217846,0.064762744383519907,0.064762744472757205,65.846738420536767,43.57979125782775,22.26694716270902,1,0.050000000000000003,2.7488495493528013e-10
5,lumbar_rotation,-0.10000000000000001,gait2392_extobl_r,lumbar_rotation,0.27674615277217846,0.027678780115705251,0.027678780101236811,65.846738420536767,43.57979125782775,22.26694716270902,1,0.050000000000000003,2.7488495493528013e-10
5,lumbar_rotation,-0.10000000000000001,gait2392_ercspn_l,lumbar_extension,0.14884523916359324,0.042260025247114676,0.042260025215345998,124.96462067637488,124.96462067637488,0,1,0.050000000000000003,3.8537936095360988e-11
5,lumbar_rotation,-0.10000000000000001,gait2392_ercspn_l,lumbar_bending,0.14884523916359324,-0.039665954471979424,-0.039665954493228739,124.96462067637488,124.96462067637488,0,1,0.050000000000000003,3.8537936095360988e-11
5,lumbar_rotation,-0.10000000000000001,gait2392_ercspn_l,lumbar_rotation,0.14884523916359324,-0.0075442843091863684,-0.007544284308380611,124.96462067637488,124.96462067637488,0,1,0.050000000000000003,3.8537936095360988e-11
5,lumbar_rotation,-0.10000000000000001,gait2392_intobl_l,lumbar_extension,0.20281600079115739,-0.051919964777648327,-0.051919964730307022,47.213100529575797,44.968125583040937,2.2449749465348607,1,0.050000000000000003,2.6956844995632755e-12
5,lumbar_rotation,-0.10000000000000001,gait2392_intobl_l,lumbar_bending,0.20281600079115739,-0.091724874987875474,-0.091724874959342451,47.213100529575797,44.968125583040937,2.2449749465348607,1,0.050000000000000003,2.6956844995632755e-12
5,lumbar_rotation,-0.10000000000000001,gait2392_intobl_l,lumbar_rotation,0.20281600079115739,0.038212175044336681,0.038212175035301499,47.213100529575797,44.968125583040937,2.2449749465348607,1,0.050000000000000003,2.6956844995632755e-12
5,lumbar_rotation,-0.10000000000000001,gait2392_extobl_l,lumbar_extension,0.27155548610262725,-0.069064422954916271,-0.069064422986153673,57.022968210433262,44.365420709298981,12.657547501134287,1,0.050000000000000003,1.1318959960322889e-14
5,lumbar_rotation,-0.10000000000000001,gait2392_extobl_l,lumbar_bending,0.27155548610262725,-0.059065949442230183,-0.05906594949256494,57.022968210433262,44.365420709298981,12.657547501134287,1,0.050000000000000003,1.1318959960322889e-14
5,lumbar_rotation,-0.10000000000000001,gait2392_extobl_l,lumbar_rotation,0.27155548610262725,-0.024020112998046236,-0.024020113009726174,57.022968210433262,44.365420709298981,12.657547501134287,1,0.050000000000000003,1.1318959960322889e-14
6,lumbar_rotation,0.10000000000000001,gait2392_ercspn_r,lumbar_extension,0.14884523916359324,0.042260025247114676,0.042260025215345998,124.96462067637488,124.96462067637488,0,1,0.050000000000000003,3.8537936095360988e-11
6,lumbar_rotation,0.10000000000000001,gait2392_ercspn_r,lumbar_bending,0.14884523916359324,0.039665954471979424,0.039665954493228739,124.96462067637488,124.96462067637488,0,1,0.050000000000000003,3.8537936095360988e-11
6,lumbar_rotation,0.10000000000000001,gait2392_ercspn_r,lumbar_rotation,0.14884523916359324,0.0075442843091863684,0.007544284308380611,124.96462067637488,124.96462067637488,0,1,0.050000000000000003,3.8537936095360988e-11
6,lumbar_rotation,0.10000000000000001,gait2392_intobl_r,lumbar_extension,0.20281600079115739,-0.051919964777648327,-0.051919964730307022,47.213100529575797,44.968125583040937,2.2449749465348607,1,0.050000000000000003,2.6956844995632755e-12
6,lumbar_rotation,0.10000000000000001,gait2392_intobl_r,lumbar_bending,0.20281600079115739,0.091724874987875474,0.091724874959342451,47.213100529575797,44.968125583040937,2.2449749465348607,1,0.050000000000000003,2.6956844995632755e-12
